"Chr","Start","End","Conc","Conc_alpha","Conc_beta","Fold","p-value","FDR","Called1","Called2"
"chr2",54436203,54436403,5.16,6.38,2.04,4.34,2.32e-21,2.59e-16,2,3
"chr2",174442549,174442749,4.65,5.91,0.78,5.13,3.88e-21,2.59e-16,2,2
"chr13",72628566,72628766,5.25,6.44,2.46,3.98,6.91e-20,3.08e-15,2,3
"chr7",69655621,69655821,4.23,5.5,0.04,5.46,4.28e-19,1.43e-14,2,1
"chr4",4565469,4565669,5.01,0.5,5.72,-5.23,1.16e-16,3.1e-12,1,3
"chr6",70497619,70497819,4.8,-0.06,5.51,-5.57,4.18e-16,9.31e-12,0,3
"chr15",55043619,55043819,4.52,5.71,1.78,3.93,8.12e-16,1.42e-11,2,2
"chr15",20207454,20207654,3.99,5.24,0.46,4.78,9.84e-16,1.42e-11,2,2
"chr17",71013674,71013874,4.65,5.82,2.04,3.78,1.04e-15,1.42e-11,2,3
"chr6",139587015,139587215,3.87,5.13,0.04,5.09,1.06e-15,1.42e-11,2,1
"chrX",93286371,93286571,3.85,5.11,0.04,5.07,1.24e-15,1.51e-11,2,0
"chr2",62483517,62483717,3.85,5.1,0.04,5.06,1.6e-15,1.68e-11,2,0
"chr3",131802971,131803171,3.84,5.1,0.04,5.06,1.64e-15,1.68e-11,2,0
"chr10",125389557,125389757,4.62,5.79,2.04,3.75,1.82e-15,1.74e-11,2,3
"chr15",25377103,25377303,3.81,5.07,0.04,5.02,2.83e-15,2.52e-11,2,1
"chr10",90771475,90771675,4.31,5.51,1.46,4.05,3.54e-15,2.96e-11,2,3
"chr18",11052409,11052609,5.12,6.23,2.98,3.25,6.08e-15,4.78e-11,2,3
"chr7",123377817,123378017,4.74,5.88,2.36,3.52,6.81e-15,5.05e-11,2,3
"chr10",18545890,18546090,3.77,5.02,0.04,4.98,7.48e-15,5.26e-11,2,1
"chr17",66752556,66752756,3.73,4.98,0.04,4.94,1.61e-14,1.07e-10,2,0
"chr7",133637521,133637721,4.93,6.05,2.78,3.27,2.44e-14,1.51e-10,2,3
"chr10",62340184,62340384,4.51,5.66,2.04,3.62,2.49e-14,1.51e-10,2,2
"chr6",49073756,49073956,4.43,5.6,1.92,3.68,3.02e-14,1.75e-10,2,3
"chr2",62473972,62474172,3.67,4.92,0.04,4.88,3.98e-14,2.18e-10,2,0
"chr17",44542978,44543178,3.67,4.92,0.04,4.88,4.07e-14,2.18e-10,2,0
"chr1",77674731,77674931,3.66,4.91,0.04,4.87,5.51e-14,2.83e-10,2,1
"chr1",21830012,21830212,4.08,5.28,1.26,4.01,6.32e-14,3.13e-10,2,3
"chr9",32224049,32224249,3.63,4.88,0.04,4.83,9.14e-14,4.36e-10,2,0
"chr2",124719074,124719274,4.23,5.4,1.63,3.77,1.18e-13,5.44e-10,2,3
"chr14",17172824,17173024,3.85,5.07,0.78,4.29,1.28e-13,5.7e-10,2,2
"chr1",137898425,137898625,3.84,5.06,0.78,4.28,1.36e-13,5.88e-10,2,2
"chr10",18469758,18469958,3.73,4.96,0.46,4.5,1.67e-13,6.97e-10,2,2
"chr3",132695770,132695970,3.72,4.95,0.46,4.5,1.82e-13,7.38e-10,2,3
"chr9",31997876,31998076,3.59,4.83,0.04,4.79,1.99e-13,7.81e-10,2,0
"chr18",73898427,73898627,3.83,5.04,0.78,4.26,2.21e-13,8.45e-10,2,3
"chr10",12248974,12249174,3.83,5.04,0.78,4.26,2.31e-13,8.58e-10,2,2
"chr10",86021811,86022011,4.83,5.93,2.78,3.15,3.08e-13,1.11e-09,2,3
"chr15",103514162,103514362,4,5.19,1.26,3.93,3.24e-13,1.14e-09,2,3
"chr15",27506378,27506578,3.67,4.9,0.46,4.44,4.27e-13,1.46e-09,2,3
"chr9",25173212,25173412,3.55,4.79,0.04,4.75,4.37e-13,1.46e-09,2,1
"chr9",101472667,101472867,4.14,5.3,1.63,3.68,5.61e-13,1.83e-09,2,2
"chr2",149896581,149896781,3.66,4.89,0.46,4.43,5.89e-13,1.87e-09,2,1
"chr6",13293805,13294005,3.66,4.88,0.46,4.42,6.15e-13,1.91e-09,2,1
"chr3",55055098,55055298,3.53,4.77,0.04,4.73,6.44e-13,1.95e-09,2,0
"chr9",105642890,105643090,3.65,4.87,0.46,4.42,6.57e-13,1.95e-09,2,1
"chr7",45643607,45643807,3.97,5.15,1.26,3.88,6.72e-13,1.95e-09,2,2
"chr3",52983127,52983327,3.51,4.76,0.04,4.71,7.04e-13,1.97e-09,2,0
"chr1",76362890,76363090,3.77,4.98,0.78,4.2,7.07e-13,1.97e-09,2,2
"chr12",12904700,12904900,3.51,4.75,0.04,4.71,7.36e-13,1.97e-09,2,0
"chr15",93974807,93975007,3.51,4.75,0.04,4.71,7.36e-13,1.97e-09,2,1
"chr3",33874836,33875036,4.14,5.3,1.63,3.67,7.57e-13,1.98e-09,2,3
"chr9",31856562,31856762,4.74,5.83,2.71,3.13,7.73e-13,1.99e-09,2,3
"chr15",72767806,72768006,3.63,4.85,0.46,4.39,9.69e-13,2.44e-09,2,2
"chr7",133124206,133124406,3.84,5.04,1.04,3.99,1.17e-12,2.87e-09,2,1
"chr3",152814024,152814224,4.26,5.4,1.92,3.48,1.19e-12,2.87e-09,2,1
"chr1",169051897,169052097,3.63,4.85,0.46,4.39,1.21e-12,2.87e-09,2,1
"chr19",44314576,44314776,3.62,4.84,0.46,4.38,1.31e-12,3.08e-09,2,2
"chr12",101008164,101008364,3.48,4.72,0.04,4.67,1.51e-12,3.48e-09,2,1
"chr1",167742573,167742773,3.47,4.71,0.04,4.67,1.58e-12,3.57e-09,2,1
"chr6",50456093,50456293,4.32,5.45,2.04,3.41,1.61e-12,3.59e-09,2,3
"chr9",113351551,113351751,4.24,5.38,1.92,3.46,1.83e-12,4e-09,2,2
"chr16",21845808,21846008,3.45,4.68,0.04,4.64,1.92e-12,4.15e-09,2,1
"chr13",78998891,78999091,4.26,-0.06,4.97,-5.03,1.96e-12,4.16e-09,0,3
"chr10",87486339,87486539,3.91,5.09,1.26,3.83,2.17e-12,4.53e-09,2,2
"chr7",138907038,138907238,4.15,5.29,1.78,3.51,2.45e-12,4.97e-09,2,1
"chr12",30217000,30217200,3.44,4.68,0.04,4.64,2.45e-12,4.97e-09,2,2
"chr13",72448656,72448856,5.62,6.63,4.01,2.62,2.75e-12,5.48e-09,2,3
"chr2",121866863,121867063,3.99,5.15,1.46,3.69,3.01e-12,5.89e-09,2,3
"chr7",122067137,122067337,5.35,6.38,3.67,2.71,3.04e-12,5.89e-09,2,3
"chr11",12438524,12438724,4.06,5.22,1.63,3.59,3.13e-12,5.98e-09,2,1
"chr13",36578601,36578801,3.89,5.07,1.26,3.8,3.19e-12,6.01e-09,2,2
"chr9",122294432,122294632,4.68,5.76,2.71,3.05,3.29e-12,6.11e-09,2,3
"chr7",137924873,137925073,3.42,4.66,0.04,4.62,3.66e-12,6.71e-09,2,0
"chr8",128654679,128654879,3.41,4.65,0.04,4.61,4e-12,7.22e-09,2,1
"chr6",126535361,126535561,3.43,4.66,0.04,4.62,4.5e-12,7.96e-09,2,0
"chr6",53643072,53643272,3.67,4.87,0.78,4.09,4.53e-12,7.96e-09,2,2
"chr7",139834176,139834376,3.77,4.96,1.04,3.91,4.93e-12,8.55e-09,2,2
"chr16",21204497,21204697,4.92,5.97,3.1,2.87,5.35e-12,9.16e-09,2,3
"chr13",30913050,30913250,3.39,4.63,0.04,4.58,5.86e-12,9.79e-09,2,1
"chr6",140466353,140466553,3.39,4.63,0.04,4.58,5.86e-12,9.79e-09,2,1
"chr4",105352330,105352530,3.39,4.62,0.04,4.58,5.99e-12,9.89e-09,2,0
"chr6",92706139,92706339,3.53,4.74,0.46,4.28,6.63e-12,1.08e-08,2,3
"chr7",132576286,132576486,4.11,5.24,1.78,3.46,6.89e-12,1.11e-08,2,2
"chr1",118852159,118852359,4.24,5.36,2.04,3.31,7.15e-12,1.12e-08,2,3
"chr12",57030827,57031027,3.93,5.09,1.46,3.63,7.19e-12,1.12e-08,2,2
"chr19",10952130,10952330,3.75,4.93,1.04,3.89,7.25e-12,1.12e-08,2,1
"chrX",23364745,23364945,3.51,4.73,0.46,4.27,7.39e-12,1.12e-08,2,2
"chr15",66953933,66954133,3.75,4.93,1.04,3.89,7.41e-12,1.12e-08,2,2
"chr6",49656670,49656870,5.31,6.33,3.67,2.66,8.1e-12,1.22e-08,2,3
"chr7",143069164,143069364,5.05,6.08,3.32,2.77,9.11e-12,1.33e-08,2,3
"chr8",39152944,39153144,3.36,4.6,0.04,4.56,9.21e-12,1.33e-08,2,3
"chr11",63922293,63922493,4.58,5.66,2.63,3.03,9.23e-12,1.33e-08,2,3
"chr6",126203430,126203630,3.92,5.08,1.46,3.62,9.28e-12,1.33e-08,2,3
"chr9",31851786,31851986,4.16,5.28,1.92,3.36,9.8e-12,1.39e-08,2,2
"chr18",25522185,25522385,4.15,5.28,1.92,3.36,9.99e-12,1.41e-08,2,2
"chr12",12810220,12810420,4.41,5.51,2.36,3.14,1.12e-11,1.55e-08,2,2
"chr9",37421388,37421588,4,5.14,1.63,3.51,1.18e-11,1.63e-08,2,1
"chr14",59201203,59201403,4.92,5.96,3.16,2.8,1.3e-11,1.77e-08,2,3
"chr19",19246857,19247057,4.46,5.55,2.46,3.09,1.32e-11,1.77e-08,2,3
"chr2",62619037,62619237,3.91,5.06,1.46,3.6,1.33e-11,1.77e-08,2,2
"chr15",91573124,91573324,4.84,5.89,3.04,2.85,1.35e-11,1.78e-08,2,3
"chr14",62170478,62170678,3.81,4.98,1.26,3.71,1.44e-11,1.88e-08,2,3
"chrX",99691068,99691268,3.48,4.69,0.46,4.23,1.5e-11,1.94e-08,2,2
"chr2",16356195,16356395,3.48,4.69,0.46,4.23,1.53e-11,1.94e-08,2,1
"chr9",52048145,52048345,3.6,4.79,0.78,4.01,1.54e-11,1.94e-08,2,2
"chr12",54334850,54335050,3.33,4.56,0.04,4.52,1.55e-11,1.94e-08,2,1
"chr19",50678648,50678848,3.9,5.06,1.46,3.6,1.58e-11,1.94e-08,2,2
"chr9",51239069,51239269,3.47,4.68,0.46,4.22,1.6e-11,1.94e-08,2,0
"chr5",31251704,31251904,3.6,4.79,0.78,4.01,1.61e-11,1.94e-08,2,1
"chr12",53875260,53875460,4.75,5.8,2.92,2.88,1.61e-11,1.94e-08,2,3
"chr2",131847599,131847799,4.2,5.31,2.04,3.27,1.62e-11,1.94e-08,2,2
"chr1",167254514,167254714,4.5,5.58,2.54,3.03,1.67e-11,2e-08,2,3
"chr17",65548812,65549012,3.34,4.58,0.04,4.53,1.73e-11,2.04e-08,2,1
"chr9",114805205,114805405,4.55,5.62,2.63,2.99,1.79e-11,2.1e-08,2,3
"chr15",74487514,74487714,5.15,6.17,3.5,2.67,1.82e-11,2.11e-08,2,3
"chr1",162740379,162740579,4.33,5.42,2.26,3.16,1.84e-11,2.12e-08,2,3
"chr13",71963615,71963815,3.46,4.67,0.46,4.22,2.12e-11,2.43e-08,2,1
"chr17",49309162,49309362,4.18,5.3,2.04,3.25,2.17e-11,2.44e-08,2,3
"chr12",28675253,28675453,4.44,5.52,2.46,3.06,2.17e-11,2.44e-08,2,3
"chr2",132816001,132816201,5.04,6.07,3.36,2.7,2.25e-11,2.51e-08,2,3
"chr2",130424326,130424526,3.45,4.66,0.46,4.2,2.37e-11,2.61e-08,2,2
"chr11",90249250,90249450,5.68,6.65,4.19,2.47,2.43e-11,2.66e-08,2,3
"chr10",81384242,81384442,3.55,4.74,0.78,3.96,2.88e-11,3.12e-08,2,1
"chr14",8135213,8135413,3.77,4.93,1.26,3.67,3e-11,3.2e-08,2,3
"chr2",145937052,145937252,3.77,4.93,1.26,3.67,3e-11,3.2e-08,2,3
"chr3",46701671,46701871,4.02,5.15,1.78,3.37,3.13e-11,3.32e-08,2,3
"chr11",16800635,16800835,4.88,2.1,5.53,-3.43,3.32e-11,3.49e-08,2,3
"chr6",94729969,94730169,3.66,4.84,1.04,3.8,3.34e-11,3.49e-08,2,2
"chr6",48593747,48593947,4.41,5.49,2.46,3.04,3.53e-11,3.66e-08,2,3
"chr2",170209297,170209497,3.28,4.51,0.04,4.47,3.56e-11,3.66e-08,2,0
"chr7",143740282,143740482,3.42,4.63,0.46,4.17,3.67e-11,3.74e-08,2,2
"chr11",66168421,66168621,3.77,4.93,1.26,3.66,3.71e-11,3.76e-08,2,3
"chr10",18407527,18407727,3.65,4.82,1.04,3.78,3.79e-11,3.81e-08,2,2
"chr9",113707708,113707908,4.01,5.14,1.78,3.36,3.9e-11,3.89e-08,2,3
"chr9",121857677,121857877,4.01,5.13,1.78,3.35,4.06e-11,4.02e-08,2,3
"chr7",136894381,136894581,4.95,5.97,3.26,2.71,4.15e-11,4.07e-08,2,3
"chr13",38037043,38037243,3.92,5.06,1.63,3.43,4.58e-11,4.47e-08,2,3
"chr1",55405759,55405959,5.53,6.51,4.04,2.47,4.7e-11,4.55e-08,2,3
"chr2",145756537,145756737,3.64,4.81,1.04,3.77,4.98e-11,4.78e-08,2,2
"chr19",60890060,60890260,3.53,4.72,0.78,3.94,5.24e-11,5e-08,2,2
"chr15",95887509,95887709,3.51,4.7,0.78,3.92,5.95e-11,5.64e-08,2,2
"chr3",20661996,20662196,4.64,5.68,2.85,2.83,6.41e-11,6.03e-08,2,3
"chr10",41490325,41490525,4.32,5.4,2.36,3.04,6.5e-11,6.07e-08,2,3
"chr14",32995068,32995268,3.73,4.88,1.26,3.62,6.56e-11,6.09e-08,2,3
"chr7",88430170,88430370,4.27,5.36,2.26,3.09,6.63e-11,6.11e-08,2,3
"chr18",80151751,80151951,4.54,5.6,2.71,2.89,6.83e-11,6.23e-08,2,3
"chr1",82150910,82151110,4.63,5.68,2.85,2.83,6.85e-11,6.23e-08,2,3
"chr10",9675208,9675408,3.62,4.79,1.04,3.75,6.98e-11,6.3e-08,2,3
"chr2",129129628,129129828,4.54,5.59,2.71,2.89,7.19e-11,6.45e-08,2,3
"chr7",142470919,142471119,3.25,4.47,0.04,4.43,7.46e-11,6.64e-08,2,1
"chr2",124118895,124119095,3.61,4.78,1.04,3.73,8.08e-11,7.15e-08,2,1
"chr15",73561132,73561332,4.53,5.58,2.71,2.88,8.26e-11,7.17e-08,2,2
"chr7",140036377,140036577,4.67,5.71,2.92,2.79,8.29e-11,7.17e-08,2,3
"chr3",54915807,54916007,3.23,4.46,0.04,4.41,8.32e-11,7.17e-08,2,1
"chr18",43687656,43687856,3.38,4.58,0.46,4.12,8.32e-11,7.17e-08,2,2
"chr9",85410845,85411045,3.8,4.94,1.46,3.49,8.39e-11,7.18e-08,2,1
"chr5",92675329,92675529,3.23,4.45,0.04,4.41,8.68e-11,7.39e-08,2,2
"chr11",54955961,54956161,4.37,5.44,2.46,2.98,8.87e-11,7.5e-08,2,2
"chr7",133776657,133776857,4.58,5.63,2.78,2.85,8.99e-11,7.54e-08,2,3
"chr6",142345725,142345925,3.22,4.44,0.04,4.4,9.07e-11,7.54e-08,2,2
"chr11",67897048,67897248,4.12,5.22,2.04,3.17,9.08e-11,7.54e-08,2,3
"chr8",23167605,23167805,3.71,4.86,1.26,3.59,9.45e-11,7.76e-08,2,2
"chr2",167537966,167538166,3.21,4.44,0.04,4.39,9.47e-11,7.76e-08,2,1
"chr1",165603292,165603492,4.41,5.48,2.54,2.93,9.99e-11,8.14e-08,2,3
"chr8",24227560,24227760,3.7,4.85,1.26,3.59,1.01e-10,8.14e-08,2,2
"chr2",172370658,172370858,3.96,5.08,1.78,3.3,1.04e-10,8.41e-08,2,3
"chr10",19991295,19991495,3.79,4.93,1.46,3.48,1.08e-10,8.6e-08,2,2
"chr14",24206817,24207017,3.96,5.07,1.78,3.3,1.09e-10,8.61e-08,2,3
"chr6",48083804,48084004,3.6,4.76,1.04,3.72,1.09e-10,8.61e-08,2,1
"chr8",5106967,5107167,3.97,-0.06,4.67,-4.73,1.12e-10,8.81e-08,0,3
"chr10",19907425,19907625,4.41,5.47,2.54,2.93,1.14e-10,8.93e-08,2,3
"chr6",145746349,145746549,3.88,5.01,1.63,3.38,1.16e-10,8.99e-08,2,3
"chr3",56126800,56127000,3.78,4.92,1.46,3.46,1.22e-10,9.36e-08,2,3
"chr5",33983509,33983709,3.48,4.66,0.78,3.88,1.22e-10,9.36e-08,2,2
"chr9",106477059,106477259,5.39,6.37,3.92,2.45,1.24e-10,9.44e-08,2,3
"chr10",7208886,7209086,3.21,4.43,0.04,4.39,1.25e-10,9.44e-08,2,0
"chr6",142451517,142451717,3.21,4.43,0.04,4.39,1.25e-10,9.44e-08,2,1
"chr11",58849892,58850092,3.35,4.55,0.46,4.09,1.27e-10,9.55e-08,2,1
"chr4",84449801,84450001,3.34,4.54,0.46,4.08,1.42e-10,1.04e-07,2,1
"chr1",118976634,118976834,3.19,4.41,0.04,4.37,1.42e-10,1.04e-07,2,1
"chr16",89695992,89696192,3.19,4.41,0.04,4.37,1.42e-10,1.04e-07,2,1
"chr7",137025603,137025803,3.19,4.41,0.04,4.37,1.42e-10,1.04e-07,2,0
"chr18",79110246,79110446,3.94,5.06,1.78,3.28,1.45e-10,1.05e-07,2,2
"chr9",108516942,108517142,3.68,4.83,1.26,3.56,1.45e-10,1.05e-07,2,2
"chr1",43163966,43164166,5.03,6.03,3.46,2.57,1.46e-10,1.06e-07,2,3
"chr14",66494697,66494897,3.18,4.4,0.04,4.36,1.49e-10,1.06e-07,2,1
"chr4",150371875,150372075,3.18,4.4,0.04,4.36,1.49e-10,1.06e-07,2,2
"chr6",82939635,82939835,4.85,5.86,3.21,2.65,1.5e-10,1.07e-07,2,3
"chr4",102760169,102760369,3.48,4.66,0.78,3.88,1.51e-10,1.07e-07,2,2
"chr1",167718379,167718579,3.18,4.4,0.04,4.36,1.55e-10,1.09e-07,2,1
"chr2",116735819,116736019,3.77,4.9,1.46,3.45,1.63e-10,1.14e-07,2,3
"chr9",108002423,108002623,4.21,5.29,2.26,3.03,1.63e-10,1.14e-07,2,2
"chr9",85490562,85490762,3.57,4.73,1.04,3.69,1.7e-10,1.18e-07,2,2
"chr7",28381131,28381331,3.56,4.73,1.04,3.68,1.74e-10,1.2e-07,2,1
"chr6",50685170,50685370,3.46,4.64,0.78,3.86,1.75e-10,1.2e-07,2,3
"chr12",89062595,89062795,3.85,4.98,1.63,3.35,1.76e-10,1.2e-07,2,3
"chr15",93398333,93398533,3.67,4.81,1.26,3.55,1.93e-10,1.31e-07,2,2
"chr12",40133757,40133957,3.45,4.62,0.78,3.85,1.95e-10,1.31e-07,2,2
"chr6",47830503,47830703,3.44,4.62,0.78,3.84,1.99e-10,1.34e-07,2,2
"chr19",3768749,3768949,3.44,4.62,0.78,3.84,2.03e-10,1.36e-07,2,3
"chr10",80807372,80807572,3.17,4.39,0.04,4.35,2.06e-10,1.36e-07,2,1
"chr13",72639752,72639952,3.17,4.39,0.04,4.35,2.06e-10,1.36e-07,2,2
"chr5",19963495,19963695,3.32,4.51,0.46,4.06,2.08e-10,1.37e-07,2,2
"chr3",145445959,145446159,3.66,4.8,1.26,3.54,2.1e-10,1.37e-07,2,2
"chr4",120148730,120148930,3.43,4.61,0.78,3.83,2.12e-10,1.38e-07,2,2
"chr12",117345399,117345599,3.31,4.51,0.46,4.05,2.17e-10,1.4e-07,2,2
"chr12",31073765,31073965,4.07,5.17,2.04,3.12,2.18e-10,1.4e-07,2,3
"chr18",74034431,74034631,3.17,4.38,0.04,4.34,2.19e-10,1.41e-07,2,1
"chr16",22108235,22108435,3.31,4.5,0.46,4.05,2.22e-10,1.42e-07,2,2
"chr2",129297198,129297398,5.05,6.04,3.5,2.54,2.25e-10,1.43e-07,2,3
"chr9",106368459,106368659,3.75,4.89,1.46,3.43,2.27e-10,1.44e-07,2,1
"chr9",53076097,53076297,3.16,4.38,0.04,4.33,2.29e-10,1.44e-07,2,0
"chr7",137314305,137314505,3.16,4.37,0.04,4.33,2.34e-10,1.47e-07,2,3
"chr9",54917077,54917277,4.07,5.16,2.04,3.12,2.35e-10,1.47e-07,2,3
"chr1",161766720,161766920,3.15,4.37,0.04,4.33,2.39e-10,1.49e-07,2,0
"chr14",91326807,91327007,3.92,5.03,1.78,3.25,2.53e-10,1.56e-07,2,3
"chr15",73512317,73512517,4.25,5.32,2.36,2.96,2.63e-10,1.61e-07,2,3
"chr14",35095642,35095842,3.65,4.8,1.26,3.53,2.63e-10,1.61e-07,2,3
"chr2",163645046,163645246,3.99,5.09,1.92,3.17,2.73e-10,1.66e-07,2,3
"chr1",128470881,128471081,3.43,4.61,0.78,3.83,2.75e-10,1.66e-07,2,0
"chr8",35616443,35616643,3.43,4.61,0.78,3.83,2.75e-10,1.66e-07,2,3
"chr6",82285216,82285416,4.45,1.5,5.12,-3.62,2.84e-10,1.71e-07,2,3
"chr2",132781494,132781694,3.9,5.01,1.78,3.23,2.96e-10,1.77e-07,2,2
"chr7",137410596,137410796,5.62,6.56,4.24,2.32,3.02e-10,1.8e-07,2,3
"chr13",72438747,72438947,4.12,5.21,2.16,3.05,3.04e-10,1.8e-07,2,3
"chr6",48554764,48554964,4.25,5.32,2.36,2.95,3.05e-10,1.8e-07,2,3
"chr14",68124729,68124929,3.54,4.7,1.04,3.66,3.07e-10,1.81e-07,2,2
"chr2",132064359,132064559,3.63,4.78,1.26,3.51,3.1e-10,1.82e-07,2,2
"chr3",131364670,131364870,5.03,6.02,3.5,2.52,3.19e-10,1.86e-07,2,3
"chr7",135716467,135716667,4.97,5.96,3.41,2.55,3.2e-10,1.86e-07,2,3
"chr2",110767512,110767712,3.97,5.07,1.92,3.16,3.25e-10,1.88e-07,2,2
"chr6",35864585,35864785,3.54,4.7,1.04,3.65,3.27e-10,1.88e-07,2,3
"chr4",69471343,69471543,3.29,4.48,0.46,4.02,3.28e-10,1.88e-07,2,2
"chr15",12313377,12313577,3.14,4.36,0.04,4.31,3.4e-10,1.94e-07,2,1
"chr18",75607716,75607916,3.28,4.47,0.46,4.01,3.49e-10,1.98e-07,2,2
"chr9",59577968,59578168,4.11,5.19,2.16,3.03,3.54e-10,1.98e-07,2,3
"chr10",87037197,87037397,3.13,4.35,0.04,4.31,3.55e-10,1.98e-07,2,0
"chr2",129593142,129593342,3.13,4.35,0.04,4.31,3.55e-10,1.98e-07,2,1
"chr6",76950036,76950236,3.13,4.35,0.04,4.31,3.55e-10,1.98e-07,2,0
"chr16",20693180,20693380,3.72,4.85,1.46,3.39,3.59e-10,2e-07,2,3
